,Unnamed: 0,Unnamed: 0.1,ID,Species,Country,Owner,Grade,ICP,Completed,0,1,2,3,84.50,83.83,83.17,86.25,82.67,85.00,82.25,84.08,82.50
0,0.0,,#277424,Arabica,Brazil,Pedro Santos e Silva,83.42,bsca,"Feb 10th, 2020",,,,,,,,,,,,,
1,1.0,,#745862,Arabica,Honduras,Janny Marlith Torres,83.42,ihcafe,"May 21st, 2020",,,,,,,,,,,,,
2,2.0,,#528189,Arabica,Guatemala,Byron Gonzalez,83.25,anacafe,"Jul 20th, 2020",,,,,,,,,,,,,
3,3.0,,#696793,Arabica,Brazil,João Batista Jarduli,83.25,bsca,"Apr 24th, 2020",,,,,,,,,,,,,
4,4.0,,#822911,Arabica,Colombia,Yukinobu Ueda,83.17,JPCE,"Nov 23rd, 2020",,,,,,,,,,,,,
5,5.0,,#656051,Arabica,Guatemala,Byron Gonzalez,83.17,anacafe,"Jul 20th, 2020",,,,,,,,,,,,,
6,6.0,,#437143,Arabica,Guatemala,Byron Gonzalez,83.17,anacafe,"Aug 7th, 2020",,,,,,,,,,,,,
7,7.0,,#498918,Arabica,Thailand,Doi Tung Development Project,83.08,scaa,"Aug 20th, 2020",,,,,,,,,,,,,
8,8.0,,#612046,Arabica,Brazil,João Batista Jarduli,83.08,bsca,"Apr 24th, 2020",,,,,,,,,,,,,
9,9.0,,#870843,Arabica,Costa Rica,"CECA, S.A.",83.08,scacr,"Sep 18th, 2020",,,,,,,,,,,,,
10,10.0,,#739227,Arabica,Guatemala,Byron Gonzalez,82.92,anacafe,"Jul 20th, 2020",,,,,,,,,,,,,
11,11.0,,#270107,Arabica,Guatemala,Byron Gonzalez,82.75,anacafe,"Apr 20th, 2020",,,,,,,,,,,,,
12,12.0,,#530305,Arabica,Brazil,João Batista Jarduli,82.75,bsca,"Sep 18th, 2020",,,,,,,,,,,,,
13,13.0,,#971417,Arabica,Brazil,BOURBON SPECIALTY COFFEES,82.67,bsca,"Oct 13th, 2020",,,,,,,,,,,,,
14,14.0,,#777532,Arabica,Costa Rica,"CECA, S.A.",82.67,scacr,"Feb 12th, 2020",,,,,,,,,,,,,
15,15.0,,#945126,Arabica,Guatemala,Byron Gonzalez,82.67,anacafe,"May 20th, 2020",,,,,,,,,,,,,
16,16.0,,#505661,Arabica,Honduras,Juan Manuel Sanchez Silvestre,82.58,ihcafe,"Sep 23rd, 2020",,,,,,,,,,,,,
17,17.0,,#889380,Arabica,Indonesia,PTRAAS,82.58,SCAI,"Jun 22nd, 2020",,,,,,,,,,,,,
18,18.0,,#913558,Arabica,Brazil,Erick,82.58,bsca,"Mar 13th, 2020",,,,,,,,,,,,,
